,,,,,,,,,,,,,,
,qc_id,식당이�,시도,시군구,주소,카테고�,카테��,경도,위도,x,y,방문횟�,auxiliary_,auxiliar_1
,4528,가람식당,전북특별자치도,부안군,전북특별자치도 부안군 진서면 내소사로 185 가람식당,한식,,1265889673,356118663,126.5889673,35.6118663,73,,
,5319,소담,전라북도,김제시,전북특별자치도 김제시 우림로 87,한식,,1270401881,357262528,127.0401881,35.7262528,73,,
,4939,소담,경기도,파주시,경기도 파주시 중앙로 104,한식,,1267916996,377518190,126.7916996,37.751819,73,,
,5172,소담,충남,부여군,충청남도 부여군 부여읍 의열로 27,한식,,1269155890,362798080,126.915589,36.279808,73,,
,5617,소담,경기도,포천시,경기도 포천시 영북면 산정호수로322번길 11 소담식당,한식,,1273059867,380686760,127.3059867,38.068676,73,,
,6013,소담,충청북도,보은군,,한식,,1277341724,363975622,127.7341724,36.3975622,73,,
,6142,소담,경상남도,거창군,경상남도 거창군 거창읍 공수들7길 32,한식,,1279016482,356859257,127.9016482,35.6859257,73,,
,6320,소담,경상북도,김천시,경상북도 김천시 농소면 용시길 88,한식,,1281729961,361132415,128.1729961,36.1132415,73,,
,6581,가람식당,경상남도,창녕군,경상남도 창녕군 창녕읍 창녕대로 3,한식,,1284898471,355426773,128.4898471,35.5426773,73,,
,6747,소담,강원특별자치도,평창군,강원특별자치도 평창군 대관령면 차항길 172-14,한식,,1286926143,377014550,128.6926143,37.701455,73,,
,8267,소담,충청남도,서천군,충청남도 서천군 서천읍 충절로41번길 15-9,한식,"육류,고기요리",1266869219,360766848,126.6869219,36.0766848,73,,
,8635,소담,충청남도,당진시,충청남도 당진시 우강면 덕평로 601,한식,국수,1267754851,368124455,126.7754851,36.8124455,73,,
,8717,소담,전라남도,나주시,전라남도 나주시 쌍산1길 42 1층(빛가람동) 소담 보리밥전문점,한식,보리밥,1267951763,350286603,126.7951763,35.0286603,73,,
,9337,소담,경기,수원시,경기도 수원시 권선구 세권로 246 2층 소담화로,한식,"육류,고기요리",1270309747,372537604,127.0309747,37.2537604,73,,
,9399,소담,충청남도,아산시,충청남도 아산시 순천향로 822,한식,굴요리,1270137155,367559020,127.0137155,36.755902,73,,
,9524,소담,전라남도,보성군,전라남도 순천시 고지4길 11-66,한식,국수,1274847355,349817733,127.4847355,34.9817733,73,,
,9959,소담,경기도,용인시,경기도 용인시 처인구 남사읍 천덕산로 225-1 1층,한식,국수,1271311181,371094371,127.1311181,37.1094371,73,,
,10117,소담,충청북도,진천군,충청북도 진천군 진천읍 중앙북로 50-5,한식,주꾸미요리,1274427272,368582060,127.4427272,36.858206,73,,
,3968,소금별,강원도,평창군,강원특별자치도 평창군 평창읍 노성로 245-17,카페,카페,1284043844,373700260,128.4043844,37.370026,72,,
,12064,대포면옥,강원도,속초시,강원특별자치도 속초시 설악산로4번길 163-11 대포면옥,한식,냉면,1286021012,381760363,128.6021012,38.1760363,72,,
,3213,몰리프 로스터리 카페,강원도,홍천군,강원특별자치도 홍천군 홍천읍 소옥개로 106 2층 몰리프 로스터리 카페,카페,,1279028679,376995901,127.9028679,37.6995901,71,,
,7990,집뜰,충청남도,보령시,충청남도 보령시 현대로 15 (죽정동),한식,"백반,가정식",1266026334,363601157,126.6026334,36.3601157,71,,
,12773,천왕순대국,강원도,삼척시,강원특별자치도 삼척시 사대안길 15,한식,"순대,순댓국",1291654117,374446901,129.1654117,37.4446901,69,,
,646,옥암골식육식당,전라남도,목포시,전라남도 목포시 남악1로52번길 2,육류,정육식당,1264458612,348097804,126.4458612,34.8097804,68,,
,1048,한끼,전라남도,강진군,전라남도 강진군 강진읍 보은로1길 15,일식,돈가스,1267699501,346375957,126.7699501,34.6375957,68,,
,1069,미가도,광주광역시,광산구,광주광역시 광산구 무진대로 229 에드가리움 101호,일식,"초밥,롤",1268055681,351622958,126.8055681,35.1622958,68,,
,1096,한끼,전라남도,장흥군,전라남도 장흥군 장흥읍 장흥로 39 201동103호,일식,돈가스,1269086561,346817370,126.9086561,34.681737,68,,
,1130,한끼,전라남도,보성군,전라남도 보성군 보성읍 흥성로 2541-16,일식,돈가스,1270893057,347668593,127.0893057,34.7668593,68,,
,4793,한끼,경기도,김포시,경기도 김포시 김포대로 841,한식,,1267199830,376194184,126.719983,37.6194184,68,,
,5315,은행나무집,충청남도,논산시,충청남도 논산시 성동면 성동로270번길 12-1,한식,,1270337673,362020955,127.0337673,36.2020955,68,,
,5800,은행나무집,충북,진천군,충청북도 진천군 문백면 농다리로 1094,한식,,1274871031,368344546,127.4871031,36.8344546,68,,
,7084,한끼,경상북도,영덕군,경상북도 영덕군 영덕읍 영덕로 123,한식,,1293750200,364060976,129.37502,36.4060976,68,,
,7299,은행나무집,전라남도,진도군,전라남도 진도군 진도읍 남산2길 38 은행나무집,한식,"아귀찜,해물찜",1262629485,344752289,126.2629485,34.4752289,68,,
,7667,은행나무집,제주특별자치도,제주시,제주특별자치도 제주시 국기중길 22-9 김빌라,한식,오리요리,1264913073,334784801,126.4913073,33.4784801,68,,
,9761,은행나무집,충남,천안시,충청남도 천안시 동남구 태조산길 137 은행나무집,한식,오리요리,1271779669,368151455,127.1779669,36.8151455,68,,
,10924,미가도,경상남도,거창군,경상남도 거창군 거창읍 소만3길 35-20,한식,생선회,1279217314,356947833,127.9217314,35.6947833,68,,
,1489,만리장성,전라남도,진도군,전라남도 진도군 진도읍 교동3길 3,중식,중식당,1262585074,344820037,126.2585074,34.4820037,66,,
,1600,만리장성,전라남도,해남군,전라남도 해남군 해남읍 중앙2로 111,중식,중식당,1265960732,345674076,126.5960732,34.5674076,66,,
,1611,만리장성,전남,나주시,전라남도 나주시 공산면 공산로 135,중식,중식당,1266078710,349425660,126.607871,34.942566,66,,
